appid,name,type,is_free,metacritic_score,recommendations_total,mat_supports_windows,mat_supports_mac,mat_supports_linux,mat_initial_price,mat_final_price,mat_discount_percent,mat_currency,created_at,updated_at,genre_id_csv
2600,Vampire: The Masquerade - Bloodlines,game,False,80.0,12732.0,True,True,True,1999.0,1999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
2610,GUN™,game,False,76.0,1899.0,True,True,True,1999.0,1999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
2620,Call of Duty® (2003),game,False,91.0,6583.0,True,True,True,1999.0,1999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,122
2630,Call of Duty® 2,game,False,86.0,8427.0,True,True,True,1999.0,1999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
2640,Call of Duty: United Offensive,game,False,87.0,2050.0,True,True,True,1999.0,1999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
2700,RollerCoaster Tycoon® 3: Platinum,game,False,81.0,4104.0,True,True,True,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:02:51.197236+00:00,"5, 11"
2710,Act of War: Direct Action,game,False,82.0,527.0,True,True,True,299.0,299.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,122
2800,X2: The Threat,game,False,72.0,422.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:59.518076+00:00,5
2810,X3: Reunion,game,False,71.0,552.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,5
2820,X3: Terran Conflict,game,False,73.0,2037.0,True,True,True,1599.0,1599.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:04:55.062108+00:00,"5, 11, 122"
2840,X: Beyond the Frontier,game,False,67.0,275.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,"5, 11"
2870,X Rebirth,game,False,33.0,5131.0,True,True,True,2999.0,2999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:04:55.062108+00:00,"11, 122"
2920,Sub Command,game,False,84.0,129.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
2990,FlatOut 2,game,False,76.0,16794.0,True,True,True,999.0,199.0,80.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,15
3010,Xpand Rally,game,False,82.0,498.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,15
3020,Call of Juarez,game,False,72.0,3344.0,True,True,True,999.0,199.0,80.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
3130,Men of War: Red Tide,game,False,77.0,691.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,5
3170,King's Bounty: Armored Princess,game,False,82.0,1010.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,"5, 144"
3230,Genesis Rising,game,False,57.0,130.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
3260,Safecracker: The Ultimate Puzzle Adventure,game,False,69.0,431.0,True,True,True,499.0,99.0,80.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"32, 113"
3270,Painkiller Overdose,game,False,65.0,886.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,122
3540,Peggle™ Nights,game,False,76.0,2467.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,32
3560,Bejeweled Twist,game,False,78.0,522.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,"5, 32"
3590,Plants vs. Zombies GOTY Edition,game,False,87.0,131459.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:04:55.062108+00:00,5
3620,Zuma's Revenge!,game,False,78.0,2645.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:04:55.062108+00:00,"32, 122"
3700,Sniper Elite,game,False,76.0,3336.0,True,True,True,799.0,319.0,60.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:59.518076+00:00,122
3710,Judge Dredd: Dredd vs. Death,game,False,55.0,1048.0,True,True,True,799.0,799.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,122
3720,Evil Genius,game,False,75.0,2979.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,5
3800,Advent Rising,game,False,70.0,398.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
3810,BloodRayne (Legacy),game,False,65.0,465.0,True,True,True,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
3820,BloodRayne 2 (Legacy),game,False,67.0,357.0,True,True,True,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
3830,Psychonauts,game,False,87.0,11418.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:04:55.062108+00:00,122
3900,Sid Meier's Civilization® IV,game,False,94.0,2598.0,True,True,True,1999.0,1999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
3910,Sid Meier's Civilization® III Complete,game,False,90.0,5320.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
3920,Sid Meier's Pirates!,game,False,88.0,5738.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,144
3960,Shattered Union,game,False,67.0,146.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,5
3980,CivCity: Rome,game,False,67.0,757.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
3990,Civilization IV®: Warlords,game,False,84.0,359.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
4300,RoboBlitz,game,False,80.0,,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"31, 122"
4420,Silverfall,game,False,62.0,137.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,144
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,game,False,82.0,37459.0,True,True,True,1999.0,1999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,"122, 144"
4520,Full Spectrum Warrior,game,False,80.0,263.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"5, 122"
4530,Full Spectrum Warrior: Ten Hammers,game,False,70.0,197.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"5, 122"
4560,Company of Heroes - Legacy Edition,game,False,93.0,4626.0,True,True,True,3699.0,739.0,80.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,"5, 122"
4570,"Warhammer 40,000: Dawn of War - Anniversary Edition",game,False,86.0,8374.0,True,True,True,1499.0,1499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",game,False,87.0,7321.0,True,True,True,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
4720,Condemned: Criminal Origins,game,False,78.0,2768.0,True,True,True,1495.0,373.0,75.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:02:58.146121+00:00,122
4760,Rome: Total War™ - Collection,game,False,92.0,12691.0,True,True,True,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
4770,Rome: Total War™ - Alexander,game,False,79.0,753.0,True,True,True,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
4780,Medieval II: Total War™ Kingdoms,game,False,85.0,541.0,True,True,True,2499.0,499.0,80.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,5
4800,Heroes of Annihilated Empires,game,False,65.0,542.0,True,True,True,799.0,799.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
4850,Cossacks: Back to War,game,False,60.0,2491.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,5
4880,Cossacks: European Wars,game,False,74.0,506.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,5
4890,Cossacks II: Battle for Europe,game,False,69.0,968.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,5
4920,Natural Selection 2,game,False,80.0,8490.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:04:55.062108+00:00,"5, 31, 122"
6000,STAR WARS™ Republic Commando™,game,False,78.0,13909.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,122
6020,STAR WARS™ Jedi Knight - Jedi Academy™,game,False,81.0,10921.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,122
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,game,False,89.0,3878.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,122
6060,"STAR WARS™ Battlefront II (Classic, 2005)",game,False,78.0,45707.0,True,True,True,4599.0,4599.0,0.0,PLN,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,122
6080,Thrillville®: Off the Rails™,game,False,70.0,763.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,"5, 11, 15, 113, 122"
6090,Armed and Dangerous®,game,False,78.0,261.0,True,True,True,599.0,599.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,122
6120,Shank,game,False,67.0,2828.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:04:55.062108+00:00,"31, 122"
6200,Ghost Master®,game,False,81.0,1665.0,True,True,True,499.0,99.0,80.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
6220,FlatOut,game,False,72.0,4945.0,True,True,True,749.0,149.0,80.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"11, 15, 122"
6250,Making History: The Calm & the Storm,game,False,70.0,543.0,True,True,True,399.0,79.0,80.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"5, 122"
6270,Ducati World Championship,game,False,35.0,157.0,True,True,True,399.0,399.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,15
6300,Dreamfall: The Longest Journey,game,False,75.0,1028.0,True,True,True,1999.0,1999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,"113, 144"
6310,The Longest Journey,game,False,91.0,1776.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"113, 122, 144"
6370,Bloodline Champions,game,True,79.0,,True,True,True,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:02:55.901652+00:00,"16, 44, 122"
6400,Joint Task Force,game,False,68.0,258.0,True,True,True,799.0,799.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"5, 122"
6420,Nexus - The Jupiter Incident,game,False,77.0,918.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"5, 11, 31"
6510,Lost Planet™: Extreme Condition,game,False,66.0,1651.0,True,True,True,1499.0,1499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"113, 122"
6830,Commandos 2: Men of Courage,game,False,87.0,2312.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
6840,Commandos 3: Destination Berlin,game,False,72.0,912.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
6850,Hitman 2: Silent Assassin,game,False,87.0,3302.0,True,True,True,899.0,899.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
6860,Hitman: Blood Money,game,False,82.0,12214.0,True,True,True,579.0,579.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
6870,Battlestations: Midway,game,False,76.0,820.0,True,True,True,699.0,699.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
6880,Just Cause,game,False,75.0,4270.0,True,True,True,699.0,699.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
6900,Hitman: Codename 47,game,False,73.0,3707.0,True,True,True,799.0,799.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,122
6910,Deus Ex: Game of the Year Edition,game,False,90.0,12928.0,True,True,True,699.0,699.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
6920,Deus Ex: Invisible War,game,False,80.0,2049.0,True,True,True,699.0,699.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
6980,Thief: Deadly Shadows,game,False,85.0,2237.0,True,True,True,899.0,899.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
7000,Tomb Raider: Legend,game,False,82.0,4832.0,True,True,True,699.0,699.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"113, 122"
7010,Project: Snowblind,game,False,76.0,647.0,True,True,True,599.0,599.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
7020,Rogue Trooper,game,False,69.0,456.0,True,True,True,999.0,99.0,90.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
7110,Jade Empire™: Special Edition,game,False,81.0,1775.0,True,True,True,1499.0,1499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,144
7200,Trackmania United Forever,game,False,80.0,2344.0,True,True,True,2999.0,2999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,15
7210,"Runaway, A Road Adventure",game,False,74.0,622.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,113
7260,Loki,game,False,61.0,206.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,144
7510,X-Blades,game,False,54.0,1014.0,True,True,True,1299.0,649.0,50.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,"49, 106, 113, 122, 144"
7520,Two Worlds II HD,game,False,75.0,3783.0,True,True,True,2499.0,749.0,70.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:04:55.062108+00:00,144
7600,Sid Meier's Railroads!,game,False,77.0,2478.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
7610,Railroad Tycoon 3,game,False,80.0,1058.0,True,True,True,999.0,999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
7620,Railroad Tycoon II Platinum,game,False,89.0,1271.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,5
7670,BioShock™,game,False,96.0,24326.0,True,True,True,1999.0,1999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"122, 144"
7770,X-COM: Enforcer,game,False,65.0,300.0,True,True,True,499.0,124.0,75.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:59.518076+00:00,5
7800,Stubbs the Zombie in Rebel Without a Pulse,game,False,72.0,1567.0,True,True,True,1999.0,1999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,122
7830,Men of War™,game,False,80.0,3136.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,5
7840,Death Track®: Resurrection,game,False,53.0,,True,True,True,299.0,299.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,15
7860,NecroVision,game,False,63.0,1267.0,True,True,True,499.0,499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,122
7940,Call of Duty® 4: Modern Warfare® (2007),game,False,92.0,20536.0,True,True,True,1999.0,1999.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,122
8000,Tomb Raider: Anniversary,game,False,83.0,6078.0,True,True,True,899.0,899.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,"113, 122"
8080,Kane and Lynch: Dead Men™,game,False,67.0,2595.0,True,True,True,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:02:15.101713+00:00,122
8100,Conflict: Denied Ops,game,False,58.0,388.0,True,True,True,599.0,599.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,122
8140,Tomb Raider: Underworld,game,False,80.0,5606.0,True,True,True,899.0,899.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,"113, 122"
8170,Battlestations Pacific,game,False,74.0,2261.0,True,True,True,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:02:15.101713+00:00,"5, 122"
8190,Just Cause 2,game,False,84.0,40404.0,True,True,True,1499.0,1499.0,0.0,USD,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:04:55.062108+00:00,"113, 122"
8310,Bone: Out From Boneville,game,False,68.0,,True,True,True,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:02:15.101713+00:00,113
8320,Bone: The Great Cow Race,game,False,76.0,,True,True,True,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:02:51.197236+00:00,113
